X,T,LHS,RHS
"0","0","0.0","2.4"
"1","0","2.3999999","0.0"
"2","0","0.0","0.0"
"3","0","0.0","0.0"
"4","0","0.0","0.0"
"5","0","0.0","0.0"
"6","0","0.0","0.0"
"7","0","0.0","0.0"
"8","0","0.0","0.0"
"9","0","0.0","0.0"
"10","0","0.0","0.0"
"11","0","0.0","0.0"
"12","0","0.0","0.0"
"13","0","0.0","0.0"
"14","0","0.0","0.0"
"15","0","0.0","0.0"
"16","0","0.0","0.0"
"17","0","0.0","0.0"
"18","0","0.0","0.0"
"0","1","0.0","1.824"
"1","1","1.8239999","0.288"
"2","1","0.28799996","0.0"
"3","1","0.0","0.0"
"4","1","0.0","0.0"
"5","1","0.0","0.0"
"6","1","0.0","0.0"
"7","1","0.0","0.0"
"8","1","0.0","0.0"
"9","1","0.0","0.0"
"10","1","0.0","0.0"
"11","1","0.0","0.0"
"12","1","0.0","0.0"
"13","1","0.0","0.0"
"14","1","0.0","0.0"
"15","1","0.0","0.0"
"16","1","0.0","0.0"
"17","1","0.0","0.0"
"18","1","0.0","0.0"
"0","2","0.0","1.4208001"
"1","2","1.4207997","0.43776"
"2","2","0.4377599","3.4559995e-2"
"3","2","3.455999e-2","0.0"
"4","2","0.0","0.0"
"5","2","0.0","0.0"
"6","2","0.0","0.0"
"7","2","0.0","0.0"
"8","2","0.0","0.0"
"9","2","0.0","0.0"
"10","2","0.0","0.0"
"11","2","0.0","0.0"
"12","2","0.0","0.0"
"13","2","0.0","0.0"
"14","2","0.0","0.0"
"15","2","0.0","0.0"
"16","2","0.0","0.0"
"17","2","0.0","0.0"
"18","2","0.0","0.0"
"0","3","0.0","1.1323394"
"1","3","1.1323392","0.5073408"
"2","3","0.5073407","7.879679e-2"
"3","3","7.8796774e-2","4.147199e-3"
"4","3","4.147199e-3","0.0"
"5","3","0.0","0.0"
"6","3","0.0","0.0"
"7","3","0.0","0.0"
"8","3","0.0","0.0"
"9","3","0.0","0.0"
"10","3","0.0","0.0"
"11","3","0.0","0.0"
"12","3","0.0","0.0"
"13","3","0.0","0.0"
"14","3","0.0","0.0"
"15","3","0.0","0.0"
"16","3","0.0","0.0"
"17","3","0.0","0.0"
"18","3","0.0","0.0"
"0","4","0.0","0.9214588"
"1","4","0.9214586","0.53091526"
"2","4","0.53091526","0.121264115"
"3","4","0.1212641","1.2607484e-2"
"4","4","1.2607483e-2","4.9766386e-4"
"5","4","4.976638e-4","0.0"
"6","4","0.0","0.0"
"7","4","0.0","0.0"
"8","4","0.0","0.0"
"9","4","0.0","0.0"
"10","4","0.0","0.0"
"11","4","0.0","0.0"
"12","4","0.0","0.0"
"13","4","0.0","0.0"
"14","4","0.0","0.0"
"15","4","0.0","0.0"
"16","4","0.0","0.0"
"17","4","0.0","0.0"
"18","4","0.0","0.0"
"0","5","0.0","0.7640184"
"1","5","0.7640183","0.5286224"
"2","5","0.52862227","0.15738346"
"3","5","0.15738346","2.4193099e-2"
"4","5","2.4193097e-2","1.8911225e-3"
"5","5","1.8911225e-3","5.971966e-5"
"6","5","5.9719656e-5","0.0"
"7","5","0.0","0.0"
"8","5","0.0","0.0"
"9","5","0.0","0.0"
"10","5","0.0","0.0"
"11","5","0.0","0.0"
"12","5","0.0","0.0"
"13","5","0.0","0.0"
"14","5","0.0","0.0"
"15","5","0.0","0.0"
"16","5","0.0","0.0"
"17","5","0.0","0.0"
"18","5","0.0","0.0"
"0","6","0.0","0.6440889"
"1","6","0.644089","0.5123212"
"2","6","0.5123213","0.18594927"
"3","6","0.18594928","3.7499703e-2"
"4","6","3.74997e-2","4.347591e-3"
"5","6","4.3475907e-3","2.7232163e-4"
"6","6","2.723216e-4","7.166359e-6"
"7","6","7.1663576e-6","0.0"
"8","6","0.0","0.0"
"9","6","0.0","0.0"
"10","6","0.0","0.0"
"11","6","0.0","0.0"
"12","6","0.0","0.0"
"13","6","0.0","0.0"
"14","6","0.0","0.0"
"15","6","0.0","0.0"
"16","6","0.0","0.0"
"17","6","0.0","0.0"
"18","6","0.0","0.0"
"0","7","0.0","0.55098593"
"1","7","0.55098593","0.48896873"
"2","7","0.4889688","0.20729995"
"3","7","0.20729996","5.1335406e-2"
"4","7","5.1335394e-2","7.836812e-3"
"5","7","7.836811e-3","7.2953524e-4"
"6","7","7.2953536e-4","3.812503e-5"
"7","7","3.812502e-5","8.5996294e-7"
"8","7","8.599628e-7","0.0"
"9","7","0.0","0.0"
"10","7","0.0","0.0"
"11","7","0.0","0.0"
"12","7","0.0","0.0"
"13","7","0.0","0.0"
"14","7","0.0","0.0"
"15","7","0.0","0.0"
"16","7","0.0","0.0"
"17","7","0.0","0.0"
"18","7","0.0","0.0"
"0","8","0.0","0.47742558"
"1","8","0.47742605","0.4626105"
"2","8","0.46261042","0.22238445"
"3","8","0.22238441","6.4831324e-2"
"4","8","6.483132e-2","1.2203768e-2"
"5","8","1.2203769e-2","1.4994394e-3"
"6","8","1.4994391e-3","1.1662246e-4"
"7","8","1.1662245e-4","5.2285745e-6"
"8","8","5.228574e-6","1.0319554e-7"
"9","8","1.0319553e-7","0.0"
"10","8","0.0","0.0"
"11","8","0.0","0.0"
"12","8","0.0","0.0"
"13","8","0.0","0.0"
"14","8","0.0","0.0"
"15","8","0.0","0.0"
"16","8","0.0","0.0"
"17","8","0.0","0.0"
"18","8","0.0","0.0"
"0","9","0.0","0.4183567"
"1","9","0.41835666","0.4355612"
"2","9","0.43556124","0.23230523"
"3","9","0.23230523","7.742238e-2"
"4","9","7.742237e-2","1.7234555e-2"
"5","9","1.7234553e-2","2.6180209e-3"
"6","9","2.6180209e-3","2.691932e-4"
"7","9","2.6919317e-4","1.7980792e-5"
"8","9","1.7980794e-5","7.0585753e-7"
"9","9","7.058575e-7","1.2383464e-8"
"10","9","1.2383463e-8","0.0"
"11","9","0.0","0.0"
"12","9","0.0","0.0"
"13","9","0.0","0.0"
"14","9","0.0","0.0"
"15","9","0.0","0.0"
"16","9","0.0","0.0"
"17","9","0.0","0.0"
"18","9","0.0","0.0"
"0","10","0.0","0.37021837"
"1","10","0.37021875","0.40910602"
"2","10","0.40910602","0.23810999"
"3","10","0.23810998","8.87858e-2"
"4","10","8.8785775e-2","2.270311e-2"
"5","10","2.2703111e-2","4.090145e-3"
"6","10","4.0901448e-3","5.20907e-4"
"7","10","5.2090693e-4","4.6053283e-5"
"8","10","4.6053283e-5","2.6956332e-6"
"9","10","2.695633e-6","9.4114334e-8"
"10","10","9.411433e-8","1.4860155e-9"
"11","10","1.4860154e-9","0.0"
"12","10","0.0","0.0"
"13","10","0.0","0.0"
"14","10","0.0","0.0"
"15","10","0.0","0.0"
"16","10","0.0","0.0"
"17","10","0.0","0.0"
"18","10","0.0","0.0"
"0","11","0.0","0.3304586"
"1","11","0.33045888","0.38392004"
"2","11","0.38392007","0.24071062"
"3","11","0.24071053","9.877477e-2"
"4","11","9.877477e-2","2.8399473e-2"
"5","11","2.8399471e-2","5.8953925e-3"
"6","11","5.895393e-3","8.922331e-4"
"7","11","8.9223305e-4","9.78328e-5"
"8","11","9.783279e-5","7.586369e-6"
"9","11","7.586368e-6","3.9518116e-7"
"10","11","3.9518113e-7","1.2423091e-8"
"11","11","1.2423089e-8","1.7832184e-10"
"12","11","1.7832183e-10","0.0"
"13","11","0.0","0.0"
"14","11","0.0","0.0"
"15","11","0.0","0.0"
"16","11","0.0","0.0"
"17","11","0.0","0.0"
"18","11","0.0","0.0"
"0","12","0.0","0.29721892"
"1","12","0.29721856","0.36031947"
"2","12","0.36031932","0.24086346"
"3","12","0.24086341","0.107362024"
"4","12","0.10736201","3.414402e-2"
"5","12","3.4144018e-2","7.995502e-3"
"6","12","7.995502e-3","1.3972843e-3"
"7","12","1.3972841e-3","1.8233126e-4"
"8","12","1.8233123e-4","1.7552997e-5"
"9","12","1.7552995e-5","1.2121926e-6"
"10","12","1.2121924e-6","5.688468e-8"
"11","12","5.6884673e-8","1.6262952e-9"
"12","12","1.6262952e-9","2.1398619e-11"
"13","12","2.1398619e-11","0.0"
"14","12","0.0","0.0"
"15","12","0.0","0.0"
"16","12","0.0","0.0"
"17","12","0.0","0.0"
"18","12","0.0","0.0"
"0","13","0.0","0.26912475"
"1","13","0.2691245","0.3384127"
"2","13","0.33841252","0.239178"
"3","13","0.23917794","0.11459605"
"4","13","0.114596","3.979236e-2"
"5","13","3.979236e-2","1.0341539e-2"
"6","13","1.0341538e-2","2.0432759e-3"
"7","13","2.0432756e-3","3.0835223e-4"
"8","13","3.0835223e-4","3.5365487e-5"
"9","13","3.5365487e-5","3.034452e-6"
"10","13","3.0344518e-6","1.8889062e-7"
"11","13","1.8889061e-7","8.0647125e-9"
"12","13","8.0647125e-9","2.1141838e-10"
"13","13","2.1141834e-10","2.5678344e-12"
"14","13","2.567834e-12","0.0"
"15","13","0.0","0.0"
"16","13","0.0","0.0"
"17","13","0.0","0.0"
"18","13","0.0","0.0"
"0","14","0.0","0.2451444"
"1","14","0.24514437","0.31819004"
"2","14","0.31818986","0.23613632"
"3","14","0.23613632","0.12056942"
"4","14","0.12056939","4.523469e-2"
"5","14","4.523469e-2","1.2879847e-2"
"6","14","1.2879842e-2","2.830877e-3"
"7","14","2.8308765e-3","4.8378462e-4"
"8","14","4.8378453e-4","6.4244174e-5"
"9","14","6.424417e-5","6.572709e-6"
"10","14","6.572709e-6","5.0865884e-7"
"11","14","5.086588e-7","2.8821425e-8"
"12","14","2.8821427e-8","1.1287518e-9"
"13","14","1.1287515e-9","2.7321752e-11"
"14","14","2.7321754e-11","3.0814007e-13"
"15","14","3.0814004e-13","0.0"
"16","14","0.0","0.0"
"17","14","0.0","0.0"
"18","14","0.0","0.0"
"0","15","0.0","0.2244925"
"1","15","0.22449255","0.29957816"
"2","15","0.2995783","0.2321147"
"3","15","0.23211464","0.12539728"
"4","15","0.1253973","5.0392266e-2"
"5","15","5.039228e-2","1.5556551e-2"
"6","15","1.55565515e-2","3.7551017e-3"
"7","15","3.7551008e-3","7.1509084e-4"
"8","15","7.150907e-4","1.0766844e-4"
"9","15","1.07668435e-4","1.27655985e-5"
"10","15","1.27655985e-5","1.1787645e-6"
